incident_id,date_int,latitude,longitude,snapshot_quarter,in_corridor,severity_economic_usd
269,20010616,5.4166667,100.3432,200102,1,0.0
270,20010627,1.1933333,103.41,200102,1,0.0
271,20010627,3.9166667,98.7667,200102,1,0.0
272,20010628,11.2931,49.1791,200102,1,0.0
273,20010629,13.7083333,42.9667,200102,1,0.0
274,20010712,3.7766667,98.6767,200103,1,0.0
275,20010731,3.1528,99.6564,200103,1,0.0
276,20010803,3.7766667,98.6767,200103,1,0.0
277,20010809,3.7766667,98.6767,200103,1,0.0
278,20010825,5.0344,98.0568,200103,1,0.0
279,20010831,12.7166667,43.3167,200103,1,0.0
280,20010831,11.1333333,43.8833,200103,1,0.0
281,20010908,12.8,43.25,200103,1,0.0
282,20010924,14.0166667,42.6833,200103,1,0.0
283,20011022,3.7766667,98.6767,200104,1,0.0
284,20011103,1.8283333,102.525,200104,1,0.0
285,20011104,12.4833333,44.7167,200104,1,0.0
286,20011108,3.7765,98.7,200104,1,0.0
287,20011111,2.0333333,102.95,200104,1,0.0
288,20011117,3.7766667,98.6767,200104,1,0.0
289,20011120,3.7766667,98.6767,200104,1,0.0
290,20011125,3.7766667,98.6767,200104,1,0.0
291,20011214,3.9833,100.1,200104,1,0.0
292,20011215,1.05,103.6517,200104,1,0.0
293,20011224,12.5,44.8167,200104,1,0.0
294,20020109,14.6983333,51.2367,200201,1,0.0
295,20020109,14.5403333,51.0805,200201,1,0.0
296,20020109,14.565,51.375,200201,1,0.0
297,20020118,3.7836667,98.7007,200201,1,0.0
298,20020120,1.9581667,102.6835,200201,1,0.0
299,20020124,14.9166667,51.0333,200201,1,0.0
300,20020205,13.5333333,44.0,200201,1,0.0
301,20020213,13.25,49.3333,200201,1,0.0
302,20020224,5.3863333,100.365,200201,1,0.0
303,20020304,3.7836667,98.7007,200201,1,0.0
304,20020310,4.1633333,99.4267,200201,1,0.0
305,20020311,2.5833333,101.5,200201,1,0.0
306,20020311,3.7836667,98.7007,200201,1,0.0
307,20020314,1.8615,102.459,200201,1,0.0
308,20020331,14.0,51.8733,200201,1,0.0
309,20020405,3.9266667,98.775,200202,1,0.0
310,20020417,4.9173,99.2682,200202,1,0.0
311,20020417,4.9173,99.2682,200202,1,0.0
312,20020417,4.9173,99.2682,200202,1,0.0
313,20020417,4.9173,99.2682,200202,1,0.0
314,20020417,14.1333333,49.65,200202,1,0.0
315,20020418,12.3766667,44.215,200202,1,0.0
316,20020511,12.5,46.3833,200202,1,0.0
317,20020520,3.9906667,98.7702,200202,1,0.0
318,20020521,1.1283333,103.7617,200202,1,0.0
319,20020521,1.155,103.795,200202,1,0.0
320,20020601,4.9173,99.2682,200202,1,0.0
321,20020601,13.2466667,42.9417,200202,1,0.0
322,20020614,1.2201,103.6051,200202,1,0.0
323,20020615,10.8333333,50.1667,200202,1,0.0
324,20020702,3.7836667,98.7007,200203,1,0.0
325,20020703,3.7836667,98.7007,200203,1,0.0
326,20020730,11.8833333,51.0667,200203,1,0.0
327,20020826,1.692,102.7892,200203,1,0.0
328,20020829,3.7836667,98.7007,200203,1,0.0
329,20020906,1.59,101.9067,200203,1,0.0
330,20020908,13.8,42.7,200203,1,0.0
331,20020928,1.1905,103.3525,200203,1,0.0
332,20021006,14.8,49.8333,200204,1,0.0
333,20021011,1.6855,101.4547,200204,1,0.0
334,20021117,4.488,99.7022,200204,1,0.0
335,20021121,12.6833333,43.3333,200204,1,0.0
336,20021124,5.1688,99.7421,200204,1,0.0
337,20021128,2.4083,101.8493,200204,1,0.0
338,20021201,1.0576667,103.3923,200204,1,0.0
339,20030128,1.1666667,104.0,200301,1,0.0
340,20030209,4.75,98.25,200301,1,0.0
341,20030218,5.4166667,100.3432,200301,1,0.0
342,20030218,1.6766667,101.45,200301,1,0.0
343,20030225,4.5333333,98.2367,200301,1,0.0
344,20030228,1.6766667,101.45,200301,1,0.0
345,20030302,13.5133333,48.3467,200301,1,0.0
346,20030309,13.1833333,48.6667,200301,1,0.0
347,20030309,13.1833333,48.6667,200301,1,0.0
348,20030309,13.1833333,48.6667,200301,1,0.0
349,20030309,13.1833333,48.6667,200301,1,0.0
350,20030309,13.1833333,48.6667,200301,1,0.0
351,20030313,12.0,51.5,200301,1,0.0
352,20030317,4.2272,99.8765,200301,1,0.0
353,20030318,4.2533333,98.89,200301,1,0.0
354,20030326,1.8266667,102.2417,200301,1,0.0
355,20030408,4.3616667,98.7267,200302,1,0.0
356,20030410,4.2266,99.389,200302,1,0.0
357,20030411,1.4166667,103.0833,200302,1,0.0
358,20030413,2.2366667,101.9083,200302,1,0.0
359,20030420,13.05,51.2833,200302,1,0.0
360,20030425,2.1333333,101.75,200302,1,0.0
361,20030428,13.4,50.65,200302,1,0.0
362,20030428,13.3,49.3333,200302,1,0.0
363,20030505,13.58,49.15,200302,1,0.0
364,20030508,1.9166667,102.3333,200302,1,0.0
365,20030508,13.3,50.3667,200302,1,0.0
366,20030512,5.2,98.55,200302,1,0.0
367,20030512,14.3416667,50.6117,200302,1,0.0
368,20030513,4.5166667,98.3833,200302,1,0.0
369,20030516,12.3,47.55,200302,1,0.0
370,20030516,1.7033333,101.4483,200302,1,0.0
371,20030517,12.8866667,49.375,200302,1,0.0
372,20030528,4.2206,100.5289,200302,1,0.0
373,20030613,12.7666667,43.25,200302,1,0.0
374,20030630,3.7766667,98.6767,200302,1,0.0
375,20030717,1.3666667,103.2383,200303,1,0.0
376,20030720,1.64,103.9667,200303,1,0.0
377,20030728,1.99,102.1283,200303,1,0.0
378,20030803,12.6166667,47.4833,200303,1,0.0
379,20030803,12.9166667,47.5833,200303,1,0.0
380,20030810,2.7916667,101.0883,200303,1,0.0
381,20030905,3.9833,100.0698,200303,1,0.0
382,20030929,12.5182,47.6446,200303,1,0.0
383,20031023,3.7766667,98.6767,200304,1,0.0
384,20031025,4.945,98.1033,200304,1,0.0
385,20031026,4.558,99.373,200304,1,0.0
386,20031201,4.83,98.5617,200304,1,0.0
387,20031211,1.9716667,102.0783,200304,1,0.0
388,20031220,1.1333333,103.5,200304,1,0.0
389,20040102,1.0716667,103.6,200401,1,0.0
390,20040105,4.9173,99.2682,200401,1,0.0
391,20040129,1.1766667,103.4533,200401,1,0.0
392,20040129,1.1366667,103.4917,200401,1,0.0
393,20040130,15.215,41.935,200401,1,0.0
394,20040202,5.3195,100.3259,200401,1,0.0
395,20040203,1.0903333,103.5672,200401,1,0.0
396,20040210,4.6166667,99.4667,200401,1,0.0
397,20040210,3.0073333,100.0365,200401,1,0.0
398,20040215,1.9333333,101.8333,200401,1,0.0
399,20040227,12.1833,43.5167,200401,1,0.0
400,20040227,13.4166667,47.5,200401,1,0.0
401,20040229,24.7266667,61.9167,200401,1,0.0
402,20040305,1.2416667,103.3717,200401,1,0.0
403,20040313,4.8533333,98.325,200401,1,0.0
404,20040315,25.8688333,55.0067,200401,1,0.0
405,20040316,1.2355,103.5783,200401,1,0.0
406,20040324,3.9183333,98.7817,200401,1,0.0
407,20040328,2.6233333,101.4617,200401,1,0.0
408,20040328,3.05,100.7833,200401,1,0.0
409,20040408,1.6666667,102.1667,200402,1,0.0
410,20040420,2.1,101.9583,200402,1,0.0
411,20040422,1.7101667,101.4638,200402,1,0.0
412,20040425,5.252,100.1842,200402,1,0.0
413,20040503,1.7133333,101.465,200402,1,0.0
414,20040509,1.2333333,103.5667,200402,1,0.0
415,20040519,3.9183333,98.7817,200402,1,0.0
416,20040519,5.275,100.208,200402,1,0.0
417,20040529,5.085,100.17,200402,1,0.0
418,20040604,4.975,98.6867,200402,1,0.0
419,20040607,12.5,48.6333,200402,1,0.0
420,20040611,4.053,99.3557,200402,1,0.0
421,20040615,5.4666667,98.5667,200402,1,0.0
422,20040620,3.9833,100.1,200402,1,0.0
423,20040620,26.1666667,55.7333,200402,1,0.0
424,20040620,10.5,51.25,200402,1,0.0
425,20040623,1.7133333,101.465,200402,1,0.0
426,20040726,3.9833,100.1,200403,1,0.0
427,20040726,4.8066667,98.6483,200403,1,0.0
428,20040728,3.9183333,98.7817,200403,1,0.0
429,20040807,5.0916667,98.4783,200403,1,0.0
430,20040826,15.0666667,41.7333,200403,1,0.0
431,20040831,1.2333333,104.0,200403,1,0.0
432,20040920,1.7133333,101.465,200403,1,0.0
433,20040925,3.46,99.7867,200403,1,0.0
434,20040926,12.625,43.32,200403,1,0.0
435,20040930,4.7666667,98.6833,200403,1,0.0
436,20041003,3.5166667,100.1833,200404,1,0.0
437,20041027,1.75,102.6667,200404,1,0.0
438,20041028,12.55,45.245,200404,1,0.0
439,20041103,5.0333333,99.1833,200404,1,0.0
440,20041104,5.0833333,98.4333,200404,1,0.0
441,20041119,1.7133333,101.465,200404,1,0.0
442,20041127,1.7733333,102.6567,200404,1,0.0
443,20041127,4.9816667,98.4333,200404,1,0.0
444,20041127,4.9816667,98.4333,200404,1,0.0
