conflict_id,country_code,latitude,longitude,date_start,fatalities,event_type_code,snapshot_quarter,in_corridor
429817,530,14.468497,39.368573,20201118,1,1,202004,1
486244,530,14.277,39.462,20201119,3,1,202004,1
383541,530,14.277,39.462,20201120,12,1,202004,1
371336,530,14.277,39.462,20201120,1,1,202004,1
424009,530,14.277,39.462,20201120,3,1,202004,1
414874,530,14.093233,37.959568,20201123,9,1,202004,1
500793,530,13.24696,39.51645,20201123,2,1,202004,1
500947,530,12.958155,39.669839,20201123,1,1,202004,1
485895,530,13.588882,38.132917,20201124,2,1,202004,1
421135,530,13.782484,39.599826,20201125,3,1,202004,1
421137,530,13.87521,39.73785,20201125,22,1,202004,1
383518,530,14.174197,37.723801,20201126,5,1,202004,1
500981,530,13.5,39.666667,20201128,3,1,202004,1
374800,530,13.49667,39.47528,20201128,29,1,202004,1
485592,530,14.000624,38.466538,20201201,1,1,202004,1
485593,530,14.18227,39.53054,20201201,1,1,202004,1
485764,530,13.957096,38.043326,20201201,1,1,202004,1
485765,530,14.177523,39.561621,20201201,1,1,202004,1
421138,530,13.31062,39.32837,20201201,1,1,202004,1
485896,530,13.6571,38.1545,20201202,1,1,202004,1
383390,530,13.732225,39.001788,20201203,87,1,202004,1
425674,530,13.622495,39.001167,20201203,10,1,202004,1
422317,530,13.884459,38.646306,20201207,18,1,202004,1
414902,530,14.174197,37.723801,20201216,6,1,202004,1
500954,530,13.439237,39.170655,20201223,3,1,202004,1
383309,530,13.322103,39.172797,20201230,21,1,202004,1
422372,530,13.53139,38.61268,20201231,6,1,202004,1
463131,530,13.217895,39.027945,20210101,113368,1,202101,1
380429,530,13.5,39.5,20210101,15,1,202101,1
383490,530,13.82187,38.12643,20210104,502,1,202101,1
382144,530,13.85155,39.53528,20210105,0,1,202101,1
485903,530,14.419081,39.495665,20210105,3,1,202101,1
382130,530,13.936371,38.990534,20210106,1,1,202101,1
385868,530,12.997146,39.329172,20210107,701,1,202101,1
485800,530,14.097359,39.271669,20210110,1,1,202101,1
485802,530,13.98015,39.430264,20210110,1,1,202101,1
412589,530,14.372404,39.289265,20210111,1,1,202101,1
412349,530,13.777128,38.991002,20210111,2,1,202101,1
382134,530,14.039045,39.068627,20210112,1,1,202101,1
382142,530,14.166666,38.9,20210113,1,1,202101,1
380460,530,13.75,37.0,20210113,6,1,202101,1
424283,530,13.941207,38.765023,20210113,1,1,202101,1
435161,530,14.164349,37.309643,20210116,3,1,202101,1
382136,530,14.164349,37.309643,20210122,1,1,202101,1
385953,530,14.166666,38.9,20210125,1,1,202101,1
500965,530,13.125152,39.70358,20210127,2,1,202101,1
500974,530,13.138066,39.684131,20210127,1,1,202101,1
385959,530,13.972304,38.647879,20210201,3,1,202101,1
385961,530,14.123336,38.593882,20210201,200,1,202101,1
427821,530,13.6632,38.9232,20210201,1,1,202101,1
485803,530,14.097359,39.271669,20210201,1,1,202101,1
385962,530,13.285975,38.994398,20210202,59,1,202101,1
387181,530,13.601069,38.859777,20210208,1,1,202101,1
387018,530,13.936371,38.990534,20210209,1,1,202101,1
485807,530,13.6632,38.9232,20210209,1,1,202101,1
485810,530,14.177523,39.561621,20210209,1,1,202101,1
425976,530,13.187307,39.208873,20210212,1,1,202101,1
510583,530,13.33968,39.07482,20210213,1818,1,202101,1
412607,530,13.322103,39.172797,20210213,1,1,202101,1
412610,530,13.187307,39.208873,20210213,1,1,202101,1
387039,530,13.285975,38.994398,20210214,1,1,202101,1
386962,530,13.5,39.5,20210214,2,1,202101,1
387016,530,13.322103,39.172797,20210215,110,1,202101,1
427646,530,13.322103,39.172797,20210218,1,1,202101,1
427648,530,13.187307,39.208873,20210218,1,1,202101,1
500953,530,13.296533,39.16202,20210220,1,1,202101,1
426232,530,13.951402,38.455484,20210222,9,1,202101,1
386754,530,13.187307,39.208873,20210301,1,1,202101,1
386934,530,14.218979,39.355638,20210302,1,1,202101,1
386881,530,12.935596,39.516185,20210304,1,1,202101,1
386774,530,12.94798,39.39998,20210304,1,1,202101,1
500958,530,13.1005,39.02345,20210305,1,1,202101,1
427843,530,13.167,39.667,20210305,1,1,202101,1
386758,530,12.997146,39.329172,20210307,1,1,202101,1
412686,530,12.669281,39.345519,20210310,5,1,202101,1
491021,530,13.150248,38.823626,20210311,3,1,202101,1
389376,530,12.617009,39.444237,20210312,80,1,202101,1
389268,530,12.7875,39.54222,20210315,1,1,202101,1
389348,530,12.76711,39.30975,20210315,1,1,202101,1
427810,530,12.586236,39.421401,20210315,6,1,202101,1
390186,530,12.696746,39.227181,20210318,1,1,202101,1
390156,530,13.31062,39.32837,20210318,1,1,202101,1
421139,530,13.31062,39.32837,20210320,1,1,202101,1
390177,530,13.167,39.667,20210323,1,1,202101,1
389484,530,13.94031,39.59777,20210323,2,1,202101,1
395928,530,13.31062,39.32837,20210329,2,1,202101,1
426404,530,12.842307,39.371026,20210329,30,1,202101,1
389889,530,14.120381,38.557442,20210330,1,1,202101,1
395026,530,13.936371,38.990534,20210401,1,1,202102,1
394831,530,14.0,38.416667,20210401,1,1,202102,1
390950,530,13.111901,39.177736,20210401,1,1,202102,1
